SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
187,17/10/2024,"2,745.36","2,780.97","2,734.19",-2.47,-0.09%,"3,000.81","1,826.23","6,887,818,517.11","15,129,735","77,868"
188,16/10/2024,"2,742.88","2,748.80","2,704.04",-43.22,-1.60%,"3,000.81","1,826.23","5,491,098,417.50","11,478,080","64,174"
189,15/10/2024,"2,699.66","2,700.23","2,667.82",-31.48,-1.17%,"3,000.81","1,826.23","3,028,812,729.50","5,709,371","34,960"
190,09/10/2024,"2,668.17","2,672.65","2,643.12",-4.85,-0.18%,"3,000.81","1,826.23","3,705,432,371.13","7,573,464","39,408"
191,08/10/2024,"2,663.32","2,699.55","2,652.66",(-27.39),(-1.01 %),"3,000.81","1,826.23","4,464,748,049.39","8,563,903","44,914"
192,07/10/2024,"2,690.72","2,707.16","2,656.35",-37.13,-1.39%,"3,000.81","1,826.23","6,868,578,219.65","13,345,498","71,673"
193,06/10/2024,"2,653.58","2,653.63","2,583.25",-56.09,-2.15%,"3,000.81","1,826.23","5,810,481,910.05","11,809,268","68,210"
194,02/10/2024,"2,597.49","2,643.76","2,582.72",(-26.07),(-0.99 %),"3,000.81","1,826.23","6,600,889,765.70","13,673,866","81,716"
195,01/10/2024,"2,623.56","2,623.56","2,510.11",-114.7,-4.57%,"3,000.81","1,826.23","7,484,145,168.00","15,791,482","95,403"
196,30/09/2024,"2,508.86","2,508.86","2,462.79",-44.45,-1.80%,"3,000.81","1,826.23","3,650,798,984.50","7,349,681","49,773"
197,29/09/2024,"2,464.40","2,494.57","2,442.63",(-22.36),(-0.89 %),"3,000.81","1,826.23","3,954,839,230.10","8,602,345","57,375"
198,26/09/2024,"2,486.76","2,541.69","2,479.65",(-32.81),(-1.30 %),"3,000.81","1,826.23","4,741,275,654.30","10,214,107","64,135"
199,25/09/2024,"2,519.57","2,519.97","2,443.28",-49.18,-1.99%,"3,000.81","1,826.23","4,691,760,071.40","10,678,382","67,890"
200,24/09/2024,"2,470.39","2,547.47","2,462.61",(-58.93),(-2.33 %),"3,000.81","1,826.23","5,537,548,130.70","12,070,865","75,739"
201,23/09/2024,"2,529.33","2,608.43","2,517.79",(-59.02),(-2.28 %),"3,000.81","1,826.23","5,502,761,276.70","11,146,168","75,843"
202,22/09/2024,"2,588.35","2,643.51","2,570.27",-11.58,-0.44%,"3,000.81","1,826.23","4,908,751,943.40","9,793,533","71,379"
203,18/09/2024,"2,576.76","2,606.04","2,551.40",(-4.00),(-0.15 %),"3,000.81","1,826.23","5,544,532,336.10","11,395,642","78,979"
204,16/09/2024,"2,580.76","2,637.52","2,570.62",(-57.03),(-2.16 %),"3,000.81","1,826.23","7,162,529,427.19","14,157,742","91,349"
205,15/09/2024,"2,637.79","2,734.58","2,630.11",(-50.73),(-1.88 %),"3,000.81","1,826.23","10,109,420,934.10","19,950,599","117,611"
206,12/09/2024,"2,688.53","2,688.55","2,604.83",-78.31,-3.00%,"3,000.81","1,826.23","7,954,163,597.20","15,693,362","101,192"
207,11/09/2024,"2,610.21","2,651.19","2,601.91",(-22.73),(-0.86 %),"3,000.81","1,826.23","6,658,090,113.50","13,082,168","85,068"
208,10/09/2024,"2,632.94","2,688.26","2,616.98",(-13.09),(-0.49 %),"3,000.81","1,826.23","6,883,773,079.67","13,929,839","90,164"
209,09/09/2024,"2,646.03","2,706.54","2,637.71",(-55.86),(-2.06 %),"3,000.81","1,826.23","9,046,477,886.20","17,371,153","109,182"
210,08/09/2024,"2,701.90","2,760.45","2,697.84",(-25.46),(-0.93 %),"3,000.81","1,826.23","9,721,374,393.85","17,551,163","108,792"
211,05/09/2024,"2,727.36","2,758.92","2,686.62",(-12.10),(-0.44 %),"3,000.81","1,826.23","9,541,271,756.00","17,855,966","110,766"
212,04/09/2024,"2,739.46","2,860.39","2,732.40",(-90.73),(-3.20 %),"3,000.81","1,826.23","12,780,851,551.74","23,578,311","135,155"
213,03/09/2024,"2,830.20","2,860.43","2,802.92",-6.94,-0.24%,"3,000.81","1,826.23","13,409,615,288.40","25,359,635","141,508"
214,02/09/2024,"2,823.25","2,823.70","2,678.91",-127.32,-4.72%,"3,000.81","1,826.23","12,913,779,314.40","26,455,370","157,638"
215,01/09/2024,"2,695.93","2,781.75","2,686.61",(-53.63),(-1.95 %),"3,000.81","1,826.23","10,336,737,227.20","20,223,360","127,568"
216,29/08/2024,"2,749.57","2,800.28","2,727.57",(-36.83),(-1.32 %),"3,000.81","1,826.23","12,068,957,290.30","23,728,861","143,780"
217,28/08/2024,"2,786.40","2,860.89","2,761.02",-3.8,-0.13%,"3,000.81","1,826.23","13,494,301,948.10","27,517,279","164,596"
218,27/08/2024,"2,782.60","2,902.75","2,770.39",(-111.96),(-3.86 %),"3,000.81","1,826.23","18,466,679,504.06","38,172,032","230,945"
219,25/08/2024,"2,894.57","2,990.04","2,885.39",(-79.88),(-2.68 %),"3,000.81","1,826.23","19,460,577,266.80","36,900,652","215,193"
220,22/08/2024,"2,974.46","3,018.93","2,967.47",-6.01,-0.20%,"3,000.81","1,826.23","18,940,348,129.40","36,217,619","212,709"
221,21/08/2024,"2,968.44","3,002.74","2,943.61",-2.11,-0.07%,"3,000.81","1,826.23","18,549,058,412.40","35,335,936","209,974"
222,18/08/2024,"2,966.33","3,048.15","2,945.49",(-34.47),(-1.14 %),"3,000.81","1,826.23","28,272,972,107.10","56,851,145","294,089"
223,15/08/2024,"3,000.81","3,036.64","2,975.11",-43.05,-1.45%,"3,000.81","1,826.23","29,305,205,410.88","59,372,595","305,188"
224,14/08/2024,"2,957.75","2,959.19","2,883.81",-34.29,-1.17%,"2,957.75","1,826.23","23,167,217,121.05","45,141,902","240,214"
225,13/08/2024,"2,923.46","2,971.69","2,891.43",(-8.18),(-0.27 %),"2,931.65","1,826.23","21,037,515,436.94","41,229,536","236,388"
226,12/08/2024,"2,931.65","2,937.40","2,876.46",-70.81,-2.47%,"2,931.65","1,826.23","26,809,031,192.34","53,050,643","279,086"
227,11/08/2024,"2,860.84","2,860.96","2,779.24",-94.46,-3.41%,"2,860.84","1,826.23","25,339,368,663.35","52,046,311","271,222"
228,08/08/2024,"2,766.38","2,811.15","2,744.86",-6.7,-0.24%,"2,796.38","1,826.23","19,819,695,350.33","39,919,707","207,207"
229,07/08/2024,"2,759.67","2,759.67","2,630.86",-108.35,-4.08%,"2,796.38","1,826.23","17,692,269,452.40","33,851,146","209,983"
230,06/08/2024,"2,651.32","2,815.94","2,644.85",(-145.05),(-5.18 %),"2,796.38","1,826.23","23,503,207,541.70","47,162,541","268,413"
231,05/08/2024,"2,796.38","2,806.69","2,744.10",-40.76,-1.47%,"2,796.38","1,826.23","21,697,964,239.90","44,253,223","235,185"
